UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P36168,,,,,,,1.0,{'1': '1027-1176'},1.0,{'1': '257-888'},,,1.0,{'1': '1025-1164'},,
P36224,,,,,1.0,{'1': '171-367'},1.0,{'1': '171-363'},,,,,,,,
P36421,4.0,"{'1': '51-73', '2': '162-177', '3': '179-201', '4': '212-224'}",1.0,{'1': '1-217'},1.0,{'1': '7-355'},1.0,{'1': '37-335'},,,,,,,1.0,{'1': '8-366'}
P36516,,,1.0,{'1': '65-298'},,,2.0,"{'1': '155-268', '2': '306-367'}",1.0,{'1': '91-303'},2.0,"{'1': '139-205', '2': '302-372'}",2.0,"{'1': '114-297', '2': '303-371'}",,
P36517,,,1.0,{'1': '61-172'},1.0,{'1': '55-178'},1.0,{'1': '68-159'},,,,,,,,
P36519,,,1.0,{'1': '120-288'},1.0,{'1': '129-288'},2.0,"{'1': '190-287', '2': '133-186'}",1.0,{'1': '106-288'},,,,,,
P36520,,,,,1.0,{'1': '59-282'},1.0,{'1': '132-211'},1.0,{'1': '64-213'},,,,,1.0,{'1': '61-210'}
P36521,,,1.0,{'1': '47-187'},1.0,{'1': '37-244'},1.0,{'1': '49-155'},1.0,{'1': '48-230'},,,,,,
P36523,,,1.0,{'1': '29-253'},1.0,{'1': '6-239'},1.0,{'1': '84-222'},1.0,{'1': '65-222'},,,1.0,{'1': '85-231'},,
P36525,,,1.0,{'1': '75-144'},1.0,{'1': '9-164'},1.0,{'1': '71-129'},1.0,{'1': '69-144'},,,,,,
P36526,,,,,1.0,{'1': '29-104'},1.0,{'1': '35-131'},,,,,,,,
P36527,,,,,1.0,{'1': '2-147'},1.0,{'1': '15-137'},,,,,,,,
P36528,,,,,1.0,{'1': '15-280'},1.0,{'1': '24-150'},,,,,,,,
P36531,,,,,1.0,{'1': '1-177'},1.0,{'1': '24-83'},,,,,,,,
P36532,,,,,1.0,{'1': '20-104'},1.0,{'1': '26-104'},,,,,,,,
P36533,,,1.0,{'1': '1-70'},1.0,{'1': '1-58'},,,1.0,{'1': '3-53'},,,,,1.0,{'1': '3-53'}
P36534,,,1.0,{'1': '52-156'},1.0,{'1': '45-293'},,,1.0,{'1': '57-142'},1.0,{'1': '66-83'},1.0,{'1': '62-89'},,
P36775,,,3.0,"{'1': '917-1116', '2': '590-768', '3': '177-290'}",1.0,{'1': '147-1114'},4.0,"{'1': '183-478', '2': '628-768', '3': '901-1107', '4': '790-840'}",3.0,"{'1': '181-285', '2': '926-1107', '3': '577-845'}",3.0,"{'1': '182-480', '2': '1012-1020', '3': '923-1109'}",2.0,"{'1': '181-478', '2': '624-770'}",1.0,{'1': '184-1107'}
P36973,,,1.0,{'1': '3-181'},1.0,{'1': '6-180'},1.0,{'1': '40-176'},1.0,{'1': '10-175'},,,,,,
P37020,7.0,"{'1': '181-198', '2': '213-232', '3': '267-286', '4': '463-483', '5': '499-515', '6': '517-536', '7': '557-571'}",1.0,{'1': '571-742'},,,2.0,"{'1': '685-736', '2': '169-547'}",2.0,"{'1': '56-572', '2': '579-736'}",1.0,{'1': '591-659'},2.0,"{'1': '594-652', '2': '691-738'}",,
P37261,,,1.0,{'1': '1-193'},1.0,{'1': '1-190'},1.0,{'1': '11-172'},1.0,{'1': '6-185'},,,,,,
P37262,,,,,1.0,{'1': '4-300'},1.0,{'1': '83-290'},1.0,{'1': '82-305'},,,,,1.0,{'1': '83-297'}
P37263,,,,,1.0,{'1': '1-111'},1.0,{'1': '30-58'},2.0,"{'1': '1-27', '2': '29-59'}",1.0,{'1': '30-58'},,,,
P37291,,,2.0,"{'1': '46-320', '2': '21-467'}",1.0,{'1': '10-467'},1.0,{'1': '18-416'},1.0,{'1': '12-467'},1.0,{'1': '240-256'},,,,
P37292,,,2.0,"{'1': '62-336', '2': '37-487'}",1.0,{'1': '26-488'},1.0,{'1': '34-432'},1.0,{'1': '23-488'},1.0,{'1': '257-273'},,,,
P37296,,,,,1.0,{'1': '7-890'},1.0,{'1': '32-885'},,,,,,,,
P37297,,,2.0,"{'1': '1704-1897', '2': '1373-1538'}",1.0,{'1': '424-1899'},3.0,"{'1': '1642-1847', '2': '1348-1543', '3': '1096-1306'}",2.0,"{'1': '1537-1893', '2': '1361-1515'}",4.0,"{'1': '1617-1884', '2': '1345-1530', '3': '1646-1660', '4': '1739-1759'}",2.0,"{'1': '1643-1897', '2': '1345-1544'}",,
P37298,,,1.0,{'1': '51-167'},1.0,{'1': '4-167'},,,,,,,,,,
P37299,,,,,1.0,{'1': '8-76'},1.0,{'1': '15-76'},,,,,,,,
P37302,,,,,1.0,{'1': '100-501'},2.0,"{'1': '177-268', '2': '295-495'}",1.0,{'1': '166-262'},,,,,,
P37303,,,2.0,"{'1': '15-260', '2': '264-349'}",,,1.0,{'1': '16-302'},1.0,{'1': '16-344'},,,,,,
P37304,,,1.0,{'1': '211-344'},1.0,{'1': '3-671'},1.0,{'1': '211-340'},,,,,,,,
P37366,,,,,1.0,{'1': '101-357'},2.0,"{'1': '127-209', '2': '213-343'}",2.0,"{'1': '51-209', '2': '213-368'}",,,1.0,{'1': '122-203'},1.0,{'1': '49-376'}
P37370,,,,,,,2.0,"{'1': '29-54', '2': '85-112'}",,,1.0,{'1': '30-47'},2.0,"{'1': '30-47', '2': '87-106'}",,
P37838,,,4.0,"{'1': '3-106', '2': '107-232', '3': '233-389', '4': '460-626'}",1.0,{'1': '24-667'},3.0,"{'1': '28-96', '2': '149-218', '3': '292-351'}",3.0,"{'1': '16-107', '2': '148-349', '3': '456-577'}",4.0,"{'1': '26-103', '2': '147-225', '3': '290-383', '4': '462-612'}",4.0,"{'1': '27-99', '2': '148-221', '3': '291-362', '4': '463-586'}",,
P37898,5.0,"{'1': '137-152', '2': '184-199', '3': '261-271', '4': '297-312', '5': '316-328'}",2.0,"{'1': '205-450', '2': '2-201'}",1.0,{'1': '6-845'},3.0,"{'1': '228-445', '2': '517-832', '3': '12-194'}",1.0,{'1': '5-201'},,,,,,
P38009,,,4.0,"{'1': '475-518', '2': '227-372', '3': '376-580', '4': '2-196'}",1.0,{'1': '4-592'},2.0,"{'1': '136-460', '2': '17-131'}",2.0,"{'1': '201-592', '2': '5-196'}",1.0,{'1': '1-147'},2.0,"{'1': '136-461', '2': '17-131'}",1.0,{'1': '6-546'}
P38011,3.0,"{'1': '80-94', '2': '122-136', '3': '211-225'}",1.0,{'1': '10-319'},1.0,{'1': '1-315'},7.0,"{'1': '10-45', '2': '55-93', '3': '99-134', '4': '138-182', '5': '191-224', '6': '231-256', '7': '288-313'}",1.0,{'1': '10-316'},9.0,"{'1': '13-47', '2': '61-102', '3': '103-137', '4': '144-184', '5': '192-233', '6': '291-319', '7': '80-94', '8': '169-183', '9': '211-225'}",7.0,"{'1': '6-46', '2': '54-93', '3': '96-135', '4': '137-182', '5': '185-224', '6': '227-264', '7': '275-314'}",,
P38013,,,,,1.0,{'1': '21-175'},1.0,{'1': '7-173'},1.0,{'1': '37-174'},1.0,{'1': '9-176'},,,,
P38041,,,2.0,"{'1': '772-897', '2': '229-289'}",1.0,{'1': '765-936'},3.0,"{'1': '19-69', '2': '226-290', '3': '779-893'}",2.0,"{'1': '223-293', '2': '15-75'}",3.0,"{'1': '13-77', '2': '228-292', '3': '776-895'}",3.0,"{'1': '16-76', '2': '225-292', '3': '777-897'}",,
P38042,,,4.0,"{'1': '25-208', '2': '431-503', '3': '505-637', '4': '638-741'}",,,3.0,"{'1': '540-573', '2': '609-639', '3': '575-607'}",1.0,{'1': '537-743'},6.0,"{'1': '472-505', '2': '540-573', '3': '574-607', '4': '608-641', '5': '676-709', '6': '710-743'}",8.0,"{'1': '154-187', '2': '472-505', '3': '540-573', '4': '574-607', '5': '608-641', '6': '642-675', '7': '676-709', '8': '710-743'}",,
P38061,,,,,1.0,{'1': '4-127'},1.0,{'1': '14-121'},1.0,{'1': '4-127'},1.0,{'1': '17-37'},1.0,{'1': '14-121'},,
P38063,,,2.0,"{'1': '18-314', '2': '159-298'}",1.0,{'1': '12-323'},2.0,"{'1': '212-321', '2': '14-132'}",1.0,{'1': '81-314'},1.0,{'1': '140-155'},,,1.0,{'1': '15-322'}
P38064,4.0,"{'1': '66-78', '2': '85-96', '3': '103-132', '4': '133-162'}",1.0,{'1': '38-232'},1.0,{'1': '39-189'},1.0,{'1': '48-179'},1.0,{'1': '41-180'},1.0,{'1': '127-138'},,,1.0,{'1': '41-173'}
P38065,,,2.0,"{'1': '11-681', '2': '898-1022'}",1.0,{'1': '25-997'},1.0,{'1': '39-648'},3.0,"{'1': '900-1021', '2': '751-888', '3': '20-646'}",,,1.0,{'1': '762-884'},,
P38066,,,1.0,{'1': '33-279'},,,1.0,{'1': '134-275'},2.0,"{'1': '33-77', '2': '126-277'}",,,,,1.0,{'1': '85-309'}
P38067,,,2.0,"{'1': '34-482', '2': '269-459'}",1.0,{'1': '13-492'},1.0,{'1': '27-488'},1.0,{'1': '16-493'},1.0,{'1': '263-270'},,,1.0,{'1': '37-486'}
P38068,3.0,"{'1': '100-118', '2': '148-161', '3': '162-175'}",,,,,1.0,{'1': '101-163'},1.0,{'1': '91-187'},,,,,1.0,{'1': '101-182'}
P38070,,,,,,,2.0,"{'1': '130-411', '2': '469-514'}",1.0,{'1': '114-412'},4.0,"{'1': '128-424', '2': '445-524', '3': '273-285', '4': '134-157'}",2.0,"{'1': '128-424', '2': '445-516'}",,
P38071,,,,,1.0,{'1': '15-347'},,,2.0,"{'1': '37-184', '2': '146-335'}",,,,,,
P38075,,,1.0,{'1': '25-228'},1.0,{'1': '18-228'},2.0,"{'1': '56-162', '2': '186-228'}",,,1.0,{'1': '196-209'},,,1.0,{'1': '34-228'}
P38077,4.0,"{'1': '102-121', '2': '193-210', '3': '257-276', '4': '288-309'}",,,1.0,{'1': '29-310'},1.0,{'1': '35-310'},1.0,{'1': '37-310'},1.0,{'1': '296-309'},,,1.0,{'1': '33-310'}
P38080,,,,,,,1.0,{'1': '73-316'},1.0,{'1': '25-316'},2.0,"{'1': '35-319', '2': '177-189'}",1.0,{'1': '35-319'},,
P38081,,,,,1.0,{'1': '32-413'},,,1.0,{'1': '38-404'},,,,,,
P38082,,,,,,,,,1.0,{'1': '162-210'},4.0,"{'1': '155-175', '2': '183-205', '3': '153-180', '4': '181-210'}",2.0,"{'1': '153-175', '2': '181-205'}",,
P38085,,,,,1.0,{'1': '55-619'},1.0,{'1': '98-556'},,,1.0,{'1': '123-154'},,,1.0,{'1': '92-567'}
P38086,,,2.0,"{'1': '573-863', '2': '265-572'}",1.0,{'1': '136-908'},2.0,"{'1': '299-637', '2': '665-778'}",2.0,"{'1': '272-573', '2': '574-863'}",2.0,"{'1': '665-824', '2': '333-521'}",2.0,"{'1': '695-778', '2': '292-532'}",,
P38088,,,2.0,"{'1': '568-682', '2': '43-439'}",1.0,{'1': '29-677'},1.0,{'1': '570-661'},1.0,{'1': '38-572'},1.0,{'1': '205-552'},,,1.0,{'1': '39-662'}
P38089,,,1.0,{'1': '1-376'},1.0,{'1': '29-365'},1.0,{'1': '92-354'},1.0,{'1': '27-370'},2.0,"{'1': '78-86', '2': '33-368'}",1.0,{'1': '23-366'},,
P38111,,,2.0,"{'1': '1666-1919', '2': '2175-2360'}",1.0,{'1': '945-2368'},6.0,"{'1': '2075-2315', '2': '1571-1853', '3': '2338-2368', '4': '876-977', '5': '1242-1470', '6': '1880-1978'}",2.0,"{'1': '2040-2367', '2': '577-1069'}",5.0,"{'1': '2049-2352', '2': '2336-2368', '3': '1399-1944', '4': '2079-2092', '5': '2209-2229'}",3.0,"{'1': '2076-2367', '2': '2336-2368', '3': '872-979'}",,
P38112,,,2.0,"{'1': '138-396', '2': '397-720'}",1.0,{'1': '100-745'},2.0,"{'1': '459-574', '2': '195-382'}",2.0,"{'1': '92-354', '2': '243-587'}",4.0,"{'1': '331-339', '2': '452-615', '3': '202-399', '4': '171-199'}",2.0,"{'1': '477-574', '2': '190-413'}",,
P38113,,,,,,,2.0,"{'1': '185-313', '2': '33-144'}",2.0,"{'1': '11-172', '2': '147-320'}",1.0,{'1': '69-83'},1.0,{'1': '17-347'},,
P38114,,,1.0,{'1': '98-164'},1.0,{'1': '95-793'},2.0,"{'1': '105-140', '2': '390-649'}",1.0,{'1': '97-144'},2.0,"{'1': '106-137', '2': '106-139'}",2.0,"{'1': '101-148', '2': '487-559'}",,
P38115,5.0,"{'1': '57-81', '2': '115-133', '3': '177-194', '4': '211-240', '5': '250-274'}",1.0,{'1': '1-344'},1.0,{'1': '24-311'},1.0,{'1': '36-311'},1.0,{'1': '24-320'},3.0,"{'1': '177-194', '2': '283-298', '3': '61-78'}",,,,
P38116,4.0,"{'1': '20-43', '2': '48-72', '3': '75-100', '4': '120-141'}",1.0,{'1': '6-183'},1.0,{'1': '1-175'},1.0,{'1': '5-177'},1.0,{'1': '15-181'},,,1.0,{'1': '3-178'},1.0,{'1': '17-145'}
P38120,,,1.0,{'1': '149-278'},1.0,{'1': '144-278'},1.0,{'1': '158-278'},1.0,{'1': '153-278'},1.0,{'1': '217-235'},,,,
P38121,,,,,1.0,{'1': '15-677'},2.0,"{'1': '395-641', '2': '258-368'}",,,,,,,,
P38122,,,1.0,{'1': '25-306'},1.0,{'1': '11-311'},1.0,{'1': '27-289'},1.0,{'1': '27-290'},,,,,1.0,{'1': '35-291'}
P38123,,,1.0,{'1': '10-315'},,,4.0,"{'1': '52-81', '2': '88-124', '3': '129-167', '4': '192-217'}",1.0,{'1': '16-312'},3.0,"{'1': '92-133', '2': '134-176', '3': '192-217'}",7.0,"{'1': '4-40', '2': '43-83', '3': '85-124', '4': '127-167', '5': '170-217', '6': '230-269', '7': '272-313'}",,
P38129,3.0,"{'1': '540-554', '2': '624-638', '3': '709-723'}",3.0,"{'1': '324-599', '2': '600-796', '3': '145-290'}",,,8.0,"{'1': '457-494', '2': '519-553', '3': '560-595', '4': '601-637', '5': '643-679', '6': '683-722', '7': '59-84', '8': '148-277'}",2.0,"{'1': '454-792', '2': '147-282'}",10.0,"{'1': '462-503', '2': '521-562', '3': '563-595', '4': '605-646', '5': '647-688', '6': '695-731', '7': '56-88', '8': '624-638', '9': '666-680', '10': '709-723'}",7.0,"{'1': '455-494', '2': '514-553', '3': '556-595', '4': '598-637', '5': '640-679', '6': '682-722', '7': '56-88'}",,
P38130,,,1.0,{'1': '70-402'},1.0,{'1': '25-401'},1.0,{'1': '56-354'},1.0,{'1': '76-402'},,,,,,
P38132,10.0,"{'1': '451-466', '2': '511-525', '3': '539-552', '4': '563-575', '5': '590-598', '6': '192-204', '7': '242-253', '8': '260-271', '9': '277-289', '10': '369-379'}",2.0,"{'1': '228-355', '2': '390-746'}",1.0,{'1': '109-748'},4.0,"{'1': '399-620', '2': '20-127', '3': '227-357', '4': '637-723'}",2.0,"{'1': '59-378', '2': '420-729'}",2.0,"{'1': '410-616', '2': '519-527'}",2.0,"{'1': '452-604', '2': '223-725'}",,
P38137,,,2.0,"{'1': '14-432', '2': '433-538'}",,,2.0,"{'1': '19-395', '2': '448-523'}",,,1.0,{'1': '194-205'},,,,
P38138,,,2.0,"{'1': '703-804', '2': '806-954'}",,,3.0,"{'1': '382-710', '2': '90-337', '3': '718-809'}",2.0,"{'1': '51-367', '2': '371-718'}",1.0,{'1': '533-540'},,,,
P38140,,,,,1.0,{'1': '101-528'},2.0,"{'1': '38-77', '2': '421-493'}",2.0,"{'1': '420-524', '2': '32-69'}",3.0,"{'1': '429-480', '2': '39-68', '3': '39-70'}",2.0,"{'1': '410-475', '2': '34-79'}",1.0,{'1': '419-474'}
P38144,,,3.0,"{'1': '418-731', '2': '767-880', '3': '197-413'}",,,4.0,"{'1': '199-481', '2': '503-616', '3': '776-883', '4': '941-1057'}",5.0,"{'1': '886-938', '2': '939-1058', '3': '177-412', '4': '414-669', '5': '776-885'}",3.0,"{'1': '506-657', '2': '208-373', '3': '882-935'}",4.0,"{'1': '883-933', '2': '988-1052', '3': '532-616', '4': '192-384'}",,
P38146,,,1.0,{'1': '1-195'},1.0,{'1': '5-182'},1.0,{'1': '6-163'},1.0,{'1': '4-174'},1.0,{'1': '1-199'},1.0,{'1': '7-162'},1.0,{'1': '3-164'}
P38148,,,1.0,{'1': '570-788'},1.0,{'1': '2-807'},1.0,{'1': '668-777'},1.0,{'1': '582-784'},3.0,"{'1': '705-770', '2': '723-733', '3': '585-783'}",1.0,{'1': '585-780'},,
P38149,3.0,"{'1': '85-99', '2': '300-314', '3': '383-397'}",2.0,"{'1': '5-152', '2': '199-430'}",1.0,{'1': '15-877'},3.0,"{'1': '67-98', '2': '517-875', '3': '628-774'}",2.0,"{'1': '713-779', '2': '22-400'}",2.0,"{'1': '66-99', '2': '383-399'}",4.0,"{'1': '10-48', '2': '51-98', '3': '213-265', '4': '316-396'}",,
P38152,4.0,"{'1': '15-28', '2': '28-42', '3': '122-140', '4': '221-243'}",1.0,{'1': '13-299'},1.0,{'1': '11-297'},3.0,"{'1': '10-100', '2': '109-203', '3': '212-296'}",1.0,{'1': '9-293'},3.0,"{'1': '10-97', '2': '109-199', '3': '212-297'}",,,,
P38153,,,,,1.0,{'1': '53-482'},1.0,{'1': '199-483'},1.0,{'1': '199-482'},3.0,"{'1': '199-220', '2': '288-302', '3': '211-482'}",,,,
P38164,,,1.0,{'1': '7-403'},1.0,{'1': '368-1037'},2.0,"{'1': '938-1037', '2': '511-761'}",1.0,{'1': '43-394'},,,,,,
P38165,,,1.0,{'1': '279-356'},,,1.0,{'1': '286-344'},1.0,{'1': '286-365'},1.0,{'1': '285-344'},1.0,{'1': '291-350'},,
P38166,,,,,1.0,{'1': '37-204'},1.0,{'1': '81-192'},,,,,,,,
P38167,,,,,1.0,{'1': '328-1074'},1.0,{'1': '585-653'},,,,,1.0,{'1': '585-878'},,
P38169,,,1.0,{'1': '3-394'},,,1.0,{'1': '4-360'},1.0,{'1': '4-396'},,,,,,
P38170,,,,,1.0,{'1': '22-748'},1.0,{'1': '23-742'},,,,,,,,
P38174,4.0,"{'1': '164-177', '2': '189-205', '3': '265-277', '4': '296-308'}",2.0,"{'1': '106-408', '2': '315-394'}",1.0,{'1': '19-421'},1.0,{'1': '105-316'},2.0,"{'1': '55-420', '2': '320-390'}",1.0,{'1': '189-205'},,,1.0,{'1': '95-417'}
P38175,,,,,1.0,{'1': '1-177'},1.0,{'1': '106-158'},,,,,,,,
P38177,,,,,1.0,{'1': '7-440'},1.0,{'1': '8-205'},,,1.0,{'1': '4-199'},,,,
P38179,,,,,1.0,{'1': '30-455'},1.0,{'1': '49-417'},,,,,,,,
P38180,,,,,,,1.0,{'1': '1-368'},,,,,,,,
P38181,,,2.0,"{'1': '1001-1169', '2': '1170-1242'}",1.0,{'1': '96-1458'},2.0,"{'1': '767-1490', '2': '145-648'}",,,,,,,,
P38182,,,,,1.0,{'1': '2-116'},1.0,{'1': '13-116'},1.0,{'1': '1-116'},,,,,,
P38187,,,,,1.0,{'1': '62-668'},1.0,{'1': '141-665'},1.0,{'1': '137-668'},3.0,"{'1': '141-156', '2': '602-620', '3': '140-668'}",,,,
P38193,,,,,1.0,{'1': '85-425'},1.0,{'1': '4-298'},,,,,,,,
P38197,,,1.0,{'1': '2-257'},1.0,{'1': '10-252'},1.0,{'1': '56-249'},1.0,{'1': '6-246'},1.0,{'1': '88-102'},,,1.0,{'1': '1-248'}
P38199,,,3.0,"{'1': '41-115', '2': '157-227', '3': '255-334'}",,,3.0,"{'1': '47-107', '2': '159-221', '3': '261-327'}",3.0,"{'1': '43-117', '2': '146-234', '3': '250-334'}",,,3.0,"{'1': '42-112', '2': '155-226', '3': '257-331'}",,
P38200,,,,,,,1.0,{'1': '35-328'},,,,,,,,
P38202,,,,,,,1.0,{'1': '1-44'},,,,,,,,
P38203,,,,,1.0,{'1': '1-93'},1.0,{'1': '6-70'},1.0,{'1': '3-89'},1.0,{'1': '2-76'},1.0,{'1': '5-72'},,
P38204,,,,,1.0,{'1': '3-145'},1.0,{'1': '1-120'},,,,,,,,
P38205,7.0,"{'1': '170-180', '2': '252-264', '3': '302-318', '4': '393-410', '5': '116-137', '6': '336-355', '7': '518-530'}",1.0,{'1': '29-410'},1.0,{'1': '1-658'},3.0,"{'1': '159-408', '2': '459-554', '3': '557-644'}",1.0,{'1': '41-411'},2.0,"{'1': '55-411', '2': '251-262'}",,,,
P38208,,,,,1.0,{'1': '3-120'},1.0,{'1': '8-84'},,,,,,,,
P38210,,,,,,,1.0,{'1': '7-106'},,,,,,,,
P38213,,,1.0,{'1': '543-733'},1.0,{'1': '21-732'},,,,,,,1.0,{'1': '644-680'},,
P38217,,,1.0,{'1': '1-902'},1.0,{'1': '16-876'},1.0,{'1': '694-722'},1.0,{'1': '5-876'},,,,,,
P38218,,,1.0,{'1': '2-177'},1.0,{'1': '2-177'},1.0,{'1': '22-162'},1.0,{'1': '4-175'},1.0,{'1': '1-177'},1.0,{'1': '3-163'},,
P38219,4.0,"{'1': '23-43', '2': '45-63', '3': '90-105', '4': '107-125'}",3.0,"{'1': '67-388', '2': '133-225', '3': '21-306'}",,,2.0,"{'1': '23-133', '2': '307-389'}",2.0,"{'1': '307-388', '2': '21-329'}",2.0,"{'1': '306-389', '2': '21-285'}",,,1.0,{'1': '20-390'}
P38221,,,,,1.0,{'1': '15-434'},,,,,1.0,{'1': '351-377'},,,,
P38222,,,,,1.0,{'1': '13-485'},,,2.0,"{'1': '8-229', '2': '298-353'}",1.0,{'1': '26-335'},,,,
P38226,,,,,,,2.0,"{'1': '103-274', '2': '301-361'}",,,,,1.0,{'1': '106-261'},,
P38227,,,1.0,{'1': '379-669'},,,1.0,{'1': '114-633'},1.0,{'1': '101-670'},1.0,{'1': '109-673'},,,,
P38228,,,3.0,"{'1': '207-335', '2': '405-442', '3': '443-535'}",1.0,{'1': '25-563'},,,1.0,{'1': '218-310'},,,,,,
P38230,,,,,,,2.0,"{'1': '160-286', '2': '35-92'}",2.0,"{'1': '4-330', '2': '126-281'}",1.0,{'1': '149-170'},1.0,{'1': '18-330'},,
P38234,,,1.0,{'1': '1-209'},,,1.0,{'1': '23-152'},1.0,{'1': '1-208'},1.0,{'1': '4-203'},,,,
P38238,,,1.0,{'1': '20-213'},1.0,{'1': '2-210'},1.0,{'1': '21-207'},1.0,{'1': '20-208'},,,,,,
P38241,,,,,1.0,{'1': '9-108'},1.0,{'1': '10-126'},,,,,,,,
P38242,,,,,1.0,{'1': '6-236'},1.0,{'1': '57-236'},,,,,,,,
P38244,,,,,1.0,{'1': '69-506'},3.0,"{'1': '136-323', '2': '722-970', '3': '397-695'}",,,,,,,,
P38247,,,,,,,1.0,{'1': '3-161'},,,,,,,,
P38248,,,1.0,{'1': '28-151'},1.0,{'1': '95-400'},,,,,,,,,,
P38249,,,,,1.0,{'1': '1-946'},1.0,{'1': '9-398'},,,1.0,{'1': '321-496'},1.0,{'1': '419-506'},,
P38250,,,,,1.0,{'1': '64-600'},1.0,{'1': '120-597'},,,,,,,,
P38251,,,1.0,{'1': '1-193'},1.0,{'1': '4-306'},,,2.0,"{'1': '256-353', '2': '4-245'}",,,1.0,{'1': '35-193'},,
P38254,,,2.0,"{'1': '429-510', '2': '1-335'}",1.0,{'1': '1-750'},2.0,"{'1': '3-236', '2': '391-730'}",1.0,{'1': '1-324'},1.0,{'1': '343-734'},,,1.0,{'1': '1-311'}
P38255,,,,,1.0,{'1': '17-422'},1.0,{'1': '62-221'},,,,,,,,
P38256,,,,,1.0,{'1': '3-200'},,,1.0,{'1': '67-187'},,,,,,
P38260,,,1.0,{'1': '37-284'},1.0,{'1': '2-265'},1.0,{'1': '1-82'},1.0,{'1': '40-283'},,,,,,
P38261,,,3.0,"{'1': '341-449', '2': '650-753', '3': '520-647'}",1.0,{'1': '145-747'},1.0,{'1': '535-738'},1.0,{'1': '525-751'},,,,,,
P38262,,,1.0,{'1': '146-535'},1.0,{'1': '3-524'},4.0,"{'1': '350-386', '2': '393-428', '3': '6-32', '4': '198-271'}",1.0,{'1': '162-492'},5.0,"{'1': '220-248', '2': '257-298', '3': '355-386', '4': '397-437', '5': '4-36'}",6.0,"{'1': '209-248', '2': '250-289', '3': '348-387', '4': '390-428', '5': '431-470', '6': '4-36'}",,
P38263,,,,,1.0,{'1': '16-361'},1.0,{'1': '122-346'},,,,,,,,
P38264,,,,,1.0,{'1': '1-187'},1.0,{'1': '1-184'},,,,,,,,
P38266,,,,,,,1.0,{'1': '8-98'},,,,,,,,
P38272,,,,,,,1.0,{'1': '42-268'},,,,,,,,
P38273,,,,,1.0,{'1': '2-684'},1.0,{'1': '3-124'},,,,,,,,
P38274,,,1.0,{'1': '325-495'},1.0,{'1': '17-825'},3.0,"{'1': '318-493', '2': '38-308', '3': '496-823'}",1.0,{'1': '354-680'},1.0,{'1': '329-675'},,,,
P38276,,,1.0,{'1': '1-179'},1.0,{'1': '10-172'},1.0,{'1': '34-162'},1.0,{'1': '26-167'},,,,,,
P38278,,,1.0,{'1': '162-312'},1.0,{'1': '2-326'},1.0,{'1': '126-335'},1.0,{'1': '162-310'},,,,,,
P38281,,,,,1.0,{'1': '21-297'},1.0,{'1': '70-308'},1.0,{'1': '201-299'},,,,,,
P38283,,,,,,,1.0,{'1': '630-680'},,,,,,,,
P38286,4.0,"{'1': '64-81', '2': '139-150', '3': '197-213', '4': '223-242'}",,,,,1.0,{'1': '65-264'},1.0,{'1': '61-314'},1.0,{'1': '210-238'},,,,
P38288,,,,,,,2.0,"{'1': '221-444', '2': '38-100'}",,,,,,,,
P38289,,,,,1.0,{'1': '33-577'},1.0,{'1': '125-561'},,,,,,,,
P38291,,,1.0,{'1': '3-140'},1.0,{'1': '61-139'},1.0,{'1': '29-137'},,,,,,,,
P38292,,,,,1.0,{'1': '11-412'},1.0,{'1': '26-408'},,,,,2.0,"{'1': '306-379', '2': '380-413'}",,
P38293,,,,,1.0,{'1': '3-148'},,,,,,,,,,
P38295,,,1.0,{'1': '151-445'},1.0,{'1': '46-444'},1.0,{'1': '166-429'},1.0,{'1': '162-443'},1.0,{'1': '354-395'},,,,
P38297,,,1.0,{'1': '190-434'},1.0,{'1': '75-848'},1.0,{'1': '190-370'},1.0,{'1': '170-415'},1.0,{'1': '184-467'},,,,
P38301,,,,,1.0,{'1': '28-273'},2.0,"{'1': '44-117', '2': '194-268'}",,,1.0,{'1': '53-62'},,,,
P38304,,,,,1.0,{'1': '26-183'},1.0,{'1': '32-156'},,,,,,,,
P38310,,,,,1.0,{'1': '1-413'},1.0,{'1': '8-403'},,,,,,,,
P38313,,,,,,,1.0,{'1': '112-318'},,,,,,,,
P38314,,,2.0,"{'1': '90-261', '2': '266-404'}",1.0,{'1': '108-503'},2.0,"{'1': '201-251', '2': '288-332'}",2.0,"{'1': '105-254', '2': '287-505'}",2.0,"{'1': '198-256', '2': '283-342'}",4.0,"{'1': '118-167', '2': '203-251', '3': '288-336', '4': '368-415'}",,
P38318,,,,,1.0,{'1': '5-553'},1.0,{'1': '17-559'},1.0,{'1': '12-540'},,,,,,
P38319,,,,,1.0,{'1': '41-539'},1.0,{'1': '84-529'},,,,,,,,
P38321,,,1.0,{'1': '691-838'},,,,,1.0,{'1': '697-820'},,,,,,
P38325,,,,,1.0,{'1': '7-134'},1.0,{'1': '66-134'},,,,,,,,
P38326,,,,,1.0,{'1': '15-292'},1.0,{'1': '223-289'},,,1.0,{'1': '217-294'},,,,
