UniProtKB-AC,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
Q94BN2,1.0,{'1': '71-352'},2.0,"{'1': '121-356', '2': '46-120'}",1.0,{'1': '44-354'},1.0,{'1': '76-123'},,,2.0,"{'1': '147-160', '2': '53-304'}",,,1.0,{'1': '80-348'}
Q94BP0,,,,,1.0,{'1': '30-784'},1.0,{'1': '295-555'},,,,,,,,
Q94BR1,4.0,"{'1': '121-280', '2': '283-401', '3': '418-577', '4': '581-696'}",,,1.0,{'1': '37-696'},4.0,"{'1': '124-234', '2': '288-398', '3': '422-531', '4': '585-692'}",,,4.0,"{'1': '122-243', '2': '286-407', '3': '420-541', '4': '583-702'}",4.0,"{'1': '123-234', '2': '287-398', '3': '421-532', '4': '584-693'}",,
Q94BR5,2.0,"{'1': '207-564', '2': '572-980'}",5.0,"{'1': '663-730', '2': '579-980', '3': '197-285', '4': '325-423', '5': '431-565'}",,,3.0,"{'1': '229-641', '2': '828-923', '3': '679-715'}",,,4.0,"{'1': '804-976', '2': '679-718', '3': '241-526', '4': '694-703'}",3.0,"{'1': '840-923', '2': '679-719', '3': '222-531'}",,
Q94BT0,,,1.0,{'1': '782-993'},1.0,{'1': '1-1038'},3.0,"{'1': '170-393', '2': '472-646', '3': '769-993'}",,,,,,,1.0,{'1': '1-1038'}
Q94BT6,4.0,"{'1': '447-591', '2': '279-497', '3': '43-154', '4': '189-258'}",2.0,"{'1': '270-495', '2': '496-607'}",,,3.0,"{'1': '44-154', '2': '205-243', '3': '518-563'}",,,2.0,"{'1': '39-114', '2': '208-241'}",1.0,{'1': '200-241'},1.0,{'1': '55-153'}
Q94BV4,1.0,{'1': '224-507'},2.0,"{'1': '154-359', '2': '360-528'}",,,2.0,"{'1': '378-486', '2': '178-342'}",,,4.0,"{'1': '301-309', '2': '365-525', '3': '185-355', '4': '154-182'}",2.0,"{'1': '405-486', '2': '173-369'}",,
Q94C26,,,,,,,1.0,{'1': '29-78'},,,,,,,,
Q94C32,1.0,{'1': '21-173'},1.0,{'1': '151-315'},1.0,{'1': '25-307'},2.0,"{'1': '135-306', '2': '29-95'}",,,,,1.0,{'1': '28-99'},,
Q94C59,2.0,"{'1': '157-259', '2': '269-423'}",1.0,{'1': '164-438'},1.0,{'1': '104-536'},3.0,"{'1': '269-422', '2': '192-243', '3': '442-526'}",,,2.0,"{'1': '258-428', '2': '433-534'}",2.0,"{'1': '263-425', '2': '219-244'}",,
Q94CD5,1.0,{'1': '351-664'},2.0,"{'1': '16-321', '2': '11-292'}",1.0,{'1': '317-664'},2.0,"{'1': '342-584', '2': '11-325'}",,,,,,,1.0,{'1': '13-692'}
Q94CE4,1.0,{'1': '65-274'},1.0,{'1': '61-279'},1.0,{'1': '54-271'},1.0,{'1': '105-263'},,,2.0,"{'1': '109-116', '2': '153-173'}",1.0,{'1': '97-268'},,
Q94CK3,1.0,{'1': '22-166'},1.0,{'1': '29-166'},1.0,{'1': '5-163'},2.0,"{'1': '53-84', '2': '92-144'}",,,1.0,{'1': '92-125'},,,,
Q94CL6,1.0,{'1': '60-461'},,,1.0,{'1': '12-473'},2.0,"{'1': '429-462', '2': '92-398'}",,,,,1.0,{'1': '406-464'},,
Q94CL7,1.0,{'1': '224-279'},,,1.0,{'1': '180-391'},2.0,"{'1': '227-278', '2': '313-356'}",,,1.0,{'1': '229-282'},,,1.0,{'1': '225-279'}
Q94EH8,1.0,{'1': '46-180'},1.0,{'1': '102-182'},1.0,{'1': '5-293'},2.0,"{'1': '109-177', '2': '236-289'}",,,1.0,{'1': '107-184'},2.0,"{'1': '108-180', '2': '215-295'}",,
Q94EJ2,1.0,{'1': '3-374'},1.0,{'1': '5-371'},,,1.0,{'1': '39-332'},3.0,"{'1': '141-164', '2': '175-190', '3': '264-274'}",,,,,,
Q94F00,,,,,,,1.0,{'1': '87-350'},6.0,"{'1': '119-139', '2': '141-157', '3': '162-178', '4': '217-240', '5': '264-285', '6': '295-319'}",2.0,"{'1': '298-312', '2': '162-175'}",,,,
Q94F47,1.0,{'1': '2-147'},1.0,{'1': '1-148'},,,1.0,{'1': '5-141'},,,2.0,"{'1': '1-147', '2': '74-89'}",,,,
Q94F62,1.0,{'1': '268-564'},1.0,{'1': '25-203'},,,4.0,"{'1': '292-563', '2': '166-182', '3': '92-152', '4': '26-65'}",,,3.0,"{'1': '289-576', '2': '412-424', '3': '295-317'}",1.0,{'1': '289-563'},,
Q94F88,2.0,"{'1': '371-437', '2': '268-806'}",3.0,"{'1': '254-356', '2': '374-824', '3': '43-212'}",1.0,{'1': '13-828'},3.0,"{'1': '110-217', '2': '447-806', '3': '382-437'}",3.0,"{'1': '270-286', '2': '495-509', '3': '541-554'}",5.0,"{'1': '382-437', '2': '108-227', '3': '269-813', '4': '452-464', '5': '405-425'}",2.0,"{'1': '381-440', '2': '108-227'}",1.0,{'1': '451-803'}
Q94FB9,4.0,"{'1': '444-652', '2': '1095-1323', '3': '145-419', '4': '763-999'}",3.0,"{'1': '434-717', '2': '1082-1322', '3': '107-424'}",1.0,{'1': '713-1335'},4.0,"{'1': '465-610', '2': '1115-1280', '3': '93-361', '4': '747-1013'}",,,6.0,"{'1': '448-695', '2': '1091-1337', '3': '153-343', '4': '760-998', '5': '582-596', '6': '1252-1266'}",2.0,"{'1': '473-652', '2': '1122-1333'}",,
Q94FL9,2.0,"{'1': '26-81', '2': '78-174'}",,,1.0,{'1': '81-278'},3.0,"{'1': '29-75', '2': '81-127', '3': '133-175'}",,,6.0,"{'1': '24-75', '2': '76-127', '3': '128-178', '4': '29-75', '5': '76-131', '6': '132-182'}",3.0,"{'1': '28-77', '2': '80-129', '3': '132-180'}",,
Q94IB8,1.0,{'1': '78-477'},2.0,"{'1': '125-366', '2': '104-409'}",1.0,{'1': '36-473'},1.0,{'1': '109-464'},,,,,,,,
Q94JM3,1.0,{'1': '160-293'},1.0,{'1': '161-266'},1.0,{'1': '57-822'},3.0,"{'1': '164-265', '2': '313-395', '3': '779-820'}",,,2.0,"{'1': '164-266', '2': '733-817'}",1.0,{'1': '164-266'},,
Q94JQ3,1.0,{'1': '83-528'},2.0,"{'1': '112-377', '2': '87-527'}",1.0,{'1': '82-528'},1.0,{'1': '85-473'},,,1.0,{'1': '306-322'},,,,
Q94JQ6,1.0,{'1': '369-900'},2.0,"{'1': '21-112', '2': '497-655'}",,,2.0,"{'1': '355-1072', '2': '30-105'}",,,1.0,{'1': '39-85'},,,,
Q94JS0,1.0,{'1': '136-271'},1.0,{'1': '141-272'},1.0,{'1': '79-272'},2.0,"{'1': '104-143', '2': '201-257'}",3.0,"{'1': '210-221', '2': '232-244', '3': '244-256'}",1.0,{'1': '201-270'},,,1.0,{'1': '122-272'}
Q94JU3,,,,,1.0,{'1': '9-233'},1.0,{'1': '80-154'},,,1.0,{'1': '1-159'},1.0,{'1': '86-177'},,
Q94JX5,,,,,,,2.0,"{'1': '10-66', '2': '110-164'}",,,3.0,"{'1': '10-44', '2': '8-68', '3': '108-168'}",2.0,"{'1': '9-61', '2': '109-161'}",,
Q94JX9,,,1.0,{'1': '79-132'},1.0,{'1': '15-216'},2.0,"{'1': '73-128', '2': '177-216'}",,,1.0,{'1': '70-135'},1.0,{'1': '73-129'},,
Q94JY0,,,,,1.0,{'1': '12-330'},2.0,"{'1': '172-256', '2': '260-328'}",,,,,,,,
Q94K05,3.0,"{'1': '218-382', '2': '158-409', '3': '24-530'}",3.0,"{'1': '221-374', '2': '151-409', '3': '32-526'}",1.0,{'1': '20-529'},1.0,{'1': '39-530'},5.0,"{'1': '41-57', '2': '63-81', '3': '93-112', '4': '377-399', '5': '411-423'}",2.0,"{'1': '44-56', '2': '65-81'}",,,1.0,{'1': '10-539'}
Q94K07,1.0,{'1': '29-296'},,,1.0,{'1': '32-315'},1.0,{'1': '53-297'},,,,,,,,
Q94KB4,,,,,1.0,{'1': '13-459'},1.0,{'1': '14-459'},,,,,,,,
Q94KB7,,,,,1.0,{'1': '7-536'},1.0,{'1': '7-495'},,,,,,,,
Q94KD0,2.0,"{'1': '278-400', '2': '78-116'}",1.0,{'1': '249-417'},,,2.0,"{'1': '282-312', '2': '84-115'}",,,3.0,"{'1': '280-371', '2': '88-109', '3': '84-115'}",2.0,"{'1': '281-367', '2': '86-112'}",,
Q94KD3,,,,,1.0,{'1': '39-706'},2.0,"{'1': '93-266', '2': '283-587'}",,,,,,,,
Q96251,1.0,{'1': '58-157'},1.0,{'1': '57-149'},1.0,{'1': '28-231'},1.0,{'1': '60-228'},5.0,"{'1': '56-75', '2': '126-137', '3': '137-151', '4': '189-204', '5': '204-222'}",,,,,1.0,{'1': '60-229'}
Q96253,1.0,{'1': '7-53'},1.0,{'1': '9-64'},1.0,{'1': '1-67'},1.0,{'1': '9-56'},,,,,,,,
Q96254,2.0,"{'1': '1-356', '2': '390-433'}",1.0,{'1': '2-430'},1.0,{'1': '1-433'},1.0,{'1': '1-433'},16.0,"{'1': '16-28', '2': '75-88', '3': '125-140', '4': '182-196', '5': '280-294', '6': '323-339', '7': '348-366', '8': '381-400', '9': '402-422', '10': '6-24', '11': '24-41', '12': '69-86', '13': '86-102', '14': '135-150', '15': '212-229', '16': '230-251'}",,,,,,
Q96283,1.0,{'1': '7-179'},1.0,{'1': '5-215'},1.0,{'1': '8-189'},1.0,{'1': '14-174'},,,1.0,{'1': '6-202'},1.0,{'1': '15-172'},1.0,{'1': '11-169'}
Q96287,1.0,{'1': '137-448'},,,1.0,{'1': '101-466'},1.0,{'1': '139-422'},,,3.0,"{'1': '138-422', '2': '259-271', '3': '144-168'}",1.0,{'1': '138-422'},,
Q96288,,,,,1.0,{'1': '1-247'},2.0,"{'1': '3-45', '2': '55-95'}",,,2.0,"{'1': '1-47', '2': '52-99'}",2.0,"{'1': '4-47', '2': '52-99'}",,
Q96290,1.0,{'1': '8-713'},2.0,"{'1': '2-244', '2': '496-728'}",1.0,{'1': '5-721'},2.0,"{'1': '7-224', '2': '499-717'}",5.0,"{'1': '15-25', '2': '98-117', '3': '521-531', '4': '620-641', '5': '643-655'}",3.0,"{'1': '61-78', '2': '103-128', '3': '7-708'}",,,,
Q96291,1.0,{'1': '73-264'},,,1.0,{'1': '60-265'},2.0,"{'1': '75-208', '2': '229-264'}",,,1.0,{'1': '73-232'},,,,
Q96292,2.0,"{'1': '5-155', '2': '149-377'}",,,1.0,{'1': '9-369'},1.0,{'1': '5-377'},6.0,"{'1': '28-37', '2': '51-62', '3': '63-85', '4': '117-130', '5': '142-161', '6': '238-254'}",3.0,"{'1': '55-65', '2': '358-366', '3': '106-118'}",1.0,{'1': '7-377'},,
Q96293,2.0,"{'1': '5-155', '2': '149-377'}",,,1.0,{'1': '9-369'},1.0,{'1': '5-377'},6.0,"{'1': '28-37', '2': '51-62', '3': '63-85', '4': '117-130', '5': '142-161', '6': '238-254'}",3.0,"{'1': '55-65', '2': '358-366', '3': '106-118'}",1.0,{'1': '7-377'},,
Q96299,1.0,{'1': '6-237'},1.0,{'1': '1-247'},1.0,{'1': '7-239'},1.0,{'1': '13-235'},6.0,"{'1': '39-68', '2': '88-112', '3': '119-141', '4': '154-180', '5': '181-207', '6': '208-237'}",2.0,"{'1': '45-55', '2': '217-236'}",1.0,{'1': '7-248'},,
Q96300,1.0,{'1': '4-237'},1.0,{'1': '1-248'},1.0,{'1': '5-239'},1.0,{'1': '11-235'},6.0,"{'1': '39-68', '2': '88-112', '3': '119-141', '4': '154-180', '5': '181-207', '6': '208-237'}",2.0,"{'1': '45-55', '2': '217-236'}",1.0,{'1': '5-249'},,
Q96301,2.0,"{'1': '37-269', '2': '261-798'}",4.0,"{'1': '24-156', '2': '157-190', '3': '191-260', '4': '261-459'}",1.0,{'1': '31-853'},7.0,"{'1': '186-212', '2': '220-253', '3': '329-362', '4': '397-429', '5': '295-323', '6': '468-633', '7': '650-826'}",,,8.0,"{'1': '77-110', '2': '152-185', '3': '186-219', '4': '220-253', '5': '295-328', '6': '329-362', '7': '363-396', '8': '397-430'}",15.0,"{'1': '186-217', '2': '220-251', '3': '295-326', '4': '329-360', '5': '43-76', '6': '77-110', '7': '111-144', '8': '152-185', '9': '186-219', '10': '220-253', '11': '261-294', '12': '295-328', '13': '329-362', '14': '363-396', '15': '397-430'}",,
Q96303,1.0,{'1': '12-515'},1.0,{'1': '20-532'},,,1.0,{'1': '26-515'},,,1.0,{'1': '24-508'},,,1.0,{'1': '11-517'}
Q96305,1.0,{'1': '31-135'},,,1.0,{'1': '31-136'},1.0,{'1': '41-109'},,,,,,,1.0,{'1': '33-136'}
Q96321,1.0,{'1': '12-499'},2.0,"{'1': '72-495', '2': '11-50'}",,,10.0,"{'1': '105-145', '2': '148-186', '3': '189-230', '4': '243-271', '5': '274-312', '6': '318-356', '7': '358-397', '8': '401-440', '9': '12-94', '10': '456-505'}",,,5.0,"{'1': '115-154', '2': '158-186', '3': '242-284', '4': '326-361', '5': '1-58'}",8.0,"{'1': '104-145', '2': '147-187', '3': '188-230', '4': '232-271', '5': '273-313', '6': '315-356', '7': '358-398', '8': '401-441'}",,
Q96327,2.0,"{'1': '11-332', '2': '237-308'}",2.0,"{'1': '19-336', '2': '243-303'}",1.0,{'1': '5-373'},1.0,{'1': '22-224'},3.0,"{'1': '81-94', '2': '106-122', '3': '213-225'}",,,,,1.0,{'1': '1-385'}
Q96329,2.0,"{'1': '46-275', '2': '280-425'}",2.0,"{'1': '36-169', '2': '170-276'}",1.0,{'1': '1-434'},3.0,"{'1': '171-263', '2': '281-421', '3': '56-165'}",,,2.0,"{'1': '173-185', '2': '381-400'}",,,,
Q96519,1.0,{'1': '30-335'},,,1.0,{'1': '30-334'},1.0,{'1': '47-298'},14.0,"{'1': '39-58', '2': '63-83', '3': '103-116', '4': '122-132', '5': '141-156', '6': '188-200', '7': '249-264', '8': '265-282', '9': '308-321', '10': '61-75', '11': '123-140', '12': '141-153', '13': '189-204', '14': '251-266'}",3.0,"{'1': '29-335', '2': '189-199', '3': '61-72'}",,,,
Q96524,2.0,"{'1': '197-491', '2': '7-177'}",1.0,{'1': '8-210'},1.0,{'1': '5-508'},2.0,"{'1': '287-485', '2': '7-160'}",3.0,"{'1': '143-159', '2': '336-352', '3': '356-374'}",3.0,"{'1': '5-134', '2': '336-348', '3': '356-375'}",,,1.0,{'1': '6-486'}
Q96528,1.0,{'1': '11-489'},,,1.0,{'1': '7-487'},2.0,"{'1': '424-486', '2': '18-397'}",6.0,"{'1': '31-54', '2': '94-112', '3': '115-132', '4': '134-152', '5': '299-326', '6': '331-357'}",3.0,"{'1': '344-352', '2': '14-492', '3': '54-70'}",1.0,{'1': '18-401'},,
Q96533,3.0,"{'1': '3-193', '2': '327-375', '3': '168-341'}",,,,,2.0,"{'1': '206-329', '2': '34-163'}",,,1.0,{'1': '68-82'},,,1.0,{'1': '10-376'}
Q9AR19,2.0,"{'1': '227-376', '2': '455-558'}",1.0,{'1': '449-565'},1.0,{'1': '10-564'},2.0,"{'1': '258-342', '2': '465-547'}",4.0,"{'1': '475-488', '2': '489-505', '3': '506-524', '4': '524-543'}",3.0,"{'1': '222-371', '2': '472-543', '3': '477-535'}",1.0,{'1': '453-562'},,
Q9ASR0,2.0,"{'1': '244-429', '2': '1-243'}",3.0,"{'1': '374-430', '2': '1-262', '3': '263-373'}",1.0,{'1': '3-426'},2.0,"{'1': '3-211', '2': '261-382'}",22.0,"{'1': '10-30', '2': '51-70', '3': '93-104', '4': '106-130', '5': '132-150', '6': '151-172', '7': '176-189', '8': '190-210', '9': '370-398', '10': '41-58', '11': '88-99', '12': '108-126', '13': '152-164', '14': '212-224', '15': '230-239', '16': '245-258', '17': '265-281', '18': '311-329', '19': '329-343', '20': '347-370', '21': '377-388', '22': '412-430'}",2.0,"{'1': '1-4', '2': '140-146'}",2.0,"{'1': '47-244', '2': '246-383'}",,
Q9ASS2,1.0,{'1': '450-520'},1.0,{'1': '442-520'},1.0,{'1': '1-601'},1.0,{'1': '451-515'},,,1.0,{'1': '455-515'},1.0,{'1': '447-516'},,
Q9ASS4,1.0,{'1': '281-586'},1.0,{'1': '29-219'},1.0,{'1': '281-589'},5.0,"{'1': '305-517', '2': '102-123', '3': '128-147', '4': '151-172', '5': '32-71'}",,,1.0,{'1': '303-596'},,,,
Q9ASS6,1.0,{'1': '83-254'},1.0,{'1': '76-259'},,,1.0,{'1': '100-252'},5.0,"{'1': '113-128', '2': '142-154', '3': '185-200', '4': '200-212', '5': '213-228'}",2.0,"{'1': '103-253', '2': '137-154'}",,,,
Q9ASV5,,,,,1.0,{'1': '4-650'},1.0,{'1': '70-645'},,,,,,,,
Q9ATB4,2.0,"{'1': '99-151', '2': '404-484'}",2.0,"{'1': '402-486', '2': '42-93'}",,,3.0,"{'1': '47-93', '2': '104-146', '3': '231-302'}",,,6.0,"{'1': '47-74', '2': '42-98', '3': '105-148', '4': '401-487', '5': '100-152', '6': '105-152'}",2.0,"{'1': '41-85', '2': '101-150'}",,
Q9C4Z6,1.0,{'1': '5-321'},1.0,{'1': '4-326'},1.0,{'1': '2-323'},7.0,"{'1': '8-43', '2': '56-91', '3': '96-133', '4': '137-179', '5': '184-221', '6': '226-261', '7': '297-321'}",3.0,"{'1': '120-134', '2': '166-180', '3': '208-222'}",10.0,"{'1': '11-53', '2': '59-100', '3': '101-133', '4': '145-188', '5': '189-230', '6': '237-270', '7': '298-326', '8': '78-92', '9': '166-180', '10': '208-222'}",7.0,"{'1': '4-44', '2': '52-91', '3': '94-133', '4': '135-179', '5': '182-221', '6': '224-261', '7': '288-322'}",,
Q9C500,,,1.0,{'1': '57-151'},1.0,{'1': '20-177'},1.0,{'1': '57-148'},,,,,,,,
Q9C504,1.0,{'1': '28-110'},1.0,{'1': '27-112'},,,1.0,{'1': '36-108'},,,1.0,{'1': '32-110'},1.0,{'1': '33-111'},,
Q9C512,1.0,{'1': '86-536'},1.0,{'1': '79-546'},1.0,{'1': '13-539'},1.0,{'1': '104-536'},8.0,"{'1': '104-124', '2': '137-151', '3': '174-192', '4': '213-232', '5': '308-325', '6': '371-387', '7': '441-465', '8': '500-520'}",,,,,,
Q9C514,,,,,1.0,{'1': '1-190'},1.0,{'1': '7-186'},,,1.0,{'1': '79-92'},,,,
Q9C518,,,,,1.0,{'1': '43-319'},1.0,{'1': '59-220'},,,1.0,{'1': '60-114'},,,,
Q9C519,1.0,{'1': '304-372'},1.0,{'1': '296-373'},1.0,{'1': '136-539'},1.0,{'1': '313-370'},,,1.0,{'1': '306-372'},1.0,{'1': '311-371'},,
Q9C554,2.0,"{'1': '154-246', '2': '26-175'}",2.0,"{'1': '157-249', '2': '13-152'}",1.0,{'1': '7-248'},2.0,"{'1': '158-234', '2': '62-147'}",15.0,"{'1': '57-71', '2': '84-95', '3': '96-106', '4': '115-132', '5': '132-145', '6': '156-168', '7': '168-189', '8': '203-224', '9': '232-248', '10': '26-41', '11': '44-62', '12': '66-84', '13': '140-156', '14': '194-208', '15': '232-246'}",2.0,"{'1': '45-157', '2': '167-246'}",1.0,{'1': '62-147'},,
Q9C576,1.0,{'1': '238-299'},1.0,{'1': '241-310'},1.0,{'1': '15-382'},,,,,,,,,,
Q9C598,1.0,{'1': '4-159'},1.0,{'1': '16-164'},,,1.0,{'1': '8-131'},,,1.0,{'1': '7-159'},,,,
Q9C5C2,1.0,{'1': '36-523'},,,1.0,{'1': '57-528'},1.0,{'1': '52-523'},5.0,"{'1': '350-364', '2': '426-434', '3': '448-459', '4': '470-487', '5': '494-506'}",2.0,"{'1': '426-434', '2': '59-73'}",,,,
Q9C5D3,2.0,"{'1': '72-130', '2': '169-234'}",,,1.0,{'1': '53-355'},2.0,"{'1': '79-130', '2': '175-231'}",,,2.0,"{'1': '72-136', '2': '170-234'}",,,,
Q9C5G0,1.0,{'1': '12-61'},,,,,,,,,3.0,"{'1': '7-66', '2': '14-35', '3': '38-59'}",2.0,"{'1': '12-35', '2': '36-59'}",,
Q9C5H4,1.0,{'1': '33-404'},1.0,{'1': '2-140'},1.0,{'1': '5-680'},1.0,{'1': '17-128'},,,1.0,{'1': '35-89'},1.0,{'1': '13-148'},,
Q9C5H5,1.0,{'1': '332-624'},,,1.0,{'1': '13-650'},1.0,{'1': '347-607'},,,2.0,"{'1': '346-607', '2': '352-375'}",1.0,{'1': '346-607'},,
Q9C5J3,3.0,"{'1': '440-578', '2': '303-384', '3': '172-266'}",3.0,"{'1': '438-582', '2': '96-263', '3': '315-384'}",1.0,{'1': '2-885'},4.0,"{'1': '327-379', '2': '181-253', '3': '444-571', '4': '796-836'}",,,4.0,"{'1': '329-372', '2': '179-260', '3': '631-665', '4': '437-582'}",4.0,"{'1': '327-381', '2': '180-256', '3': '444-579', '4': '791-840'}",,
Q9C5J8,,,,,1.0,{'1': '122-729'},1.0,{'1': '429-731'},,,1.0,{'1': '314-396'},,,,
Q9C5K8,,,,,1.0,{'1': '37-166'},2.0,"{'1': '55-85', '2': '139-164'}",,,1.0,{'1': '51-86'},1.0,{'1': '51-86'},,
Q9C5M0,1.0,{'1': '12-286'},1.0,{'1': '15-296'},1.0,{'1': '13-289'},3.0,"{'1': '14-90', '2': '102-197', '3': '208-293'}",4.0,"{'1': '17-30', '2': '30-44', '3': '118-136', '4': '211-233'}",3.0,"{'1': '12-93', '2': '103-194', '3': '202-292'}",,,,
Q9C5M3,2.0,"{'1': '122-408', '2': '349-753'}",,,1.0,{'1': '1-753'},2.0,"{'1': '415-751', '2': '101-363'}",,,1.0,{'1': '603-617'},,,1.0,{'1': '98-751'}
Q9C5M8,1.0,{'1': '49-402'},1.0,{'1': '59-401'},1.0,{'1': '27-406'},1.0,{'1': '166-338'},8.0,"{'1': '82-99', '2': '106-131', '3': '142-158', '4': '206-227', '5': '286-305', '6': '308-327', '7': '350-374', '8': '379-402'}",,,1.0,{'1': '134-331'},,
Q9C5N2,1.0,{'1': '289-465'},,,1.0,{'1': '27-644'},1.0,{'1': '59-600'},,,,,,,,
Q9C5P4,2.0,"{'1': '190-379', '2': '394-666'}",2.0,"{'1': '190-377', '2': '378-668'}",1.0,{'1': '95-664'},3.0,"{'1': '505-638', '2': '206-359', '3': '389-486'}",,,5.0,"{'1': '494-638', '2': '208-355', '3': '653-669', '4': '430-491', '5': '72-669'}",3.0,"{'1': '494-644', '2': '203-359', '3': '384-478'}",,
Q9C5R8,1.0,{'1': '80-271'},,,1.0,{'1': '67-272'},2.0,"{'1': '82-215', '2': '236-271'}",,,1.0,{'1': '80-239'},,,,
Q9C5S2,1.0,{'1': '414-709'},1.0,{'1': '707-840'},1.0,{'1': '184-839'},2.0,"{'1': '417-704', '2': '710-836'}",,,3.0,"{'1': '414-704', '2': '566-578', '3': '707-838'}",1.0,{'1': '414-704'},,
Q9C5S9,1.0,{'1': '338-658'},2.0,"{'1': '27-131', '2': '142-245'}",,,4.0,"{'1': '354-619', '2': '34-129', '3': '156-242', '4': '251-317'}",,,5.0,"{'1': '351-637', '2': '28-132', '3': '139-245', '4': '472-484', '5': '357-379'}",1.0,{'1': '351-622'},,
Q9C5T4,1.0,{'1': '171-234'},1.0,{'1': '159-237'},1.0,{'1': '36-304'},1.0,{'1': '176-233'},,,1.0,{'1': '177-236'},1.0,{'1': '175-235'},,
Q9C5U0,4.0,"{'1': '781-922', '2': '943-1069', '3': '458-538', '4': '526-755'}",2.0,"{'1': '536-764', '2': '202-418'}",1.0,{'1': '89-1065'},5.0,"{'1': '947-1067', '2': '679-756', '3': '472-537', '4': '201-382', '5': '779-920'}",3.0,"{'1': '685-699', '2': '703-713', '3': '720-738'}",4.0,"{'1': '786-920', '2': '946-1071', '3': '479-760', '4': '198-411'}",4.0,"{'1': '945-1067', '2': '584-760', '3': '472-537', '4': '198-384'}",,
Q9C5U3,1.0,{'1': '156-410'},2.0,"{'1': '38-150', '2': '151-332'}",1.0,{'1': '42-409'},3.0,"{'1': '198-331', '2': '85-140', '3': '355-397'}",,,1.0,{'1': '302-320'},1.0,{'1': '194-334'},,
Q9C5W6,1.0,{'1': '9-240'},1.0,{'1': '1-252'},1.0,{'1': '10-241'},1.0,{'1': '16-238'},6.0,"{'1': '42-71', '2': '91-115', '3': '122-144', '4': '157-183', '5': '184-210', '6': '211-240'}",2.0,"{'1': '48-58', '2': '220-239'}",1.0,{'1': '10-252'},,
Q9C5W9,1.0,{'1': '117-257'},1.0,{'1': '125-229'},1.0,{'1': '20-577'},3.0,"{'1': '128-228', '2': '275-356', '3': '480-573'}",,,2.0,"{'1': '128-230', '2': '489-581'}",1.0,{'1': '128-230'},,
Q9C5Z1,1.0,{'1': '75-136'},3.0,"{'1': '51-150', '2': '176-380', '3': '405-629'}",1.0,{'1': '26-709'},2.0,"{'1': '79-133', '2': '402-602'}",,,1.0,{'1': '56-143'},1.0,{'1': '57-138'},,
Q9C5Z2,,,,,1.0,{'1': '19-312'},2.0,"{'1': '23-127', '2': '145-335'}",,,1.0,{'1': '25-158'},1.0,{'1': '24-157'},,
Q9C5Z3,1.0,{'1': '336-408'},,,1.0,{'1': '6-439'},2.0,"{'1': '311-403', '2': '9-141'}",,,1.0,{'1': '223-407'},2.0,"{'1': '336-422', '2': '9-141'}",,
Q9C639,,,,,1.0,{'1': '40-251'},1.0,{'1': '55-224'},,,,,,,,
Q9C658,1.0,{'1': '16-93'},,,,,2.0,"{'1': '459-554', '2': '17-89'}",,,4.0,"{'1': '512-527', '2': '453-489', '3': '534-554', '4': '9-92'}",2.0,"{'1': '459-554', '2': '11-112'}",,
Q9C670,1.0,{'1': '227-297'},1.0,{'1': '226-298'},1.0,{'1': '144-335'},1.0,{'1': '232-280'},,,1.0,{'1': '229-279'},1.0,{'1': '235-285'},,
Q9C682,1.0,{'1': '70-136'},1.0,{'1': '67-147'},1.0,{'1': '6-226'},1.0,{'1': '68-156'},,,1.0,{'1': '66-117'},1.0,{'1': '72-123'},,
Q9C685,,,,,1.0,{'1': '1-211'},,,,,,,,,,
Q9C6B3,1.0,{'1': '47-213'},,,1.0,{'1': '32-239'},2.0,"{'1': '120-151', '2': '197-261'}",,,,,,,,
Q9C6B8,,,,,1.0,{'1': '1-622'},1.0,{'1': '9-617'},,,,,,,1.0,{'1': '1-622'}
Q9C6C2,2.0,"{'1': '72-374', '2': '110-262'}",2.0,"{'1': '76-368', '2': '111-258'}",1.0,{'1': '29-373'},2.0,"{'1': '127-259', '2': '87-369'}",,,,,1.0,{'1': '85-375'},,
Q9C6D2,1.0,{'1': '5-418'},,,,,1.0,{'1': '40-274'},,,,,,,1.0,{'1': '7-416'}
Q9C6T7,,,1.0,{'1': '1-111'},1.0,{'1': '5-112'},1.0,{'1': '6-103'},,,,,,,,
Q9C6W5,1.0,{'1': '77-296'},1.0,{'1': '70-298'},1.0,{'1': '41-639'},3.0,"{'1': '82-232', '2': '384-590', '3': '261-377'}",,,2.0,"{'1': '53-304', '2': '204-218'}",1.0,{'1': '91-281'},,
Q9C6Y3,2.0,"{'1': '186-323', '2': '326-450'}",,,1.0,{'1': '136-441'},2.0,"{'1': '326-445', '2': '197-324'}",,,1.0,{'1': '228-259'},3.0,"{'1': '326-449', '2': '233-317', '3': '330-418'}",,
Q9C6Z3,2.0,"{'1': '269-405', '2': '89-284'}",1.0,{'1': '274-406'},,,2.0,"{'1': '90-260', '2': '276-397'}",,,,,1.0,{'1': '86-261'},,
